Nama Gambar,Avg_R,Avg_G,Avg_B,prediction
tomat1.jpg,107,32,3,WellDone
tomat10.jpg,128,67,46,WellDone
tomat11.jpg,113,46,17,WellDone
tomat12.jpg,122,62,34,WellDone
tomat13.jpg,114,70,61,WellDone
tomat14.jpg,139,99,87,WellDone
tomat15.jpg,129,64,42,WellDone
tomat16.jpg,99,20,5,WellDone
tomat17.jpg,104,43,24,WellDone
tomat18.jpg,107,29,9,WellDone
tomat19.jpg,125,73,62,WellDone
tomat2.jpg,112,38,3,WellDone
tomat20.jpg,118,66,53,WellDone
tomat21.jpg,132,82,57,WellDone
tomat22.jpg,115,61,37,WellDone
tomat23.jpg,163,122,108,WellDone
tomat24.jpg,99,28,0,WellDone
tomat3.jpg,190,138,116,WellDone
tomat4.jpg,135,80,57,WellDone
tomat5.jpg,119,54,14,WellDone
tomat6.jpg,127,66,47,WellDone
tomat7.jpg,124,62,37,WellDone
tomat8.jpg,148,101,81,WellDone
tomat9.jpg,104,27,0,WellDone
tomat25.jpg,161,114,14,Medium
tomat26.jpg,160,111,19,Medium
tomat27.jpg,158,114,13,Medium
tomat28.jpg,133,82,3,Medium
tomat29.jpg,143,106,41,Medium
tomat30.jpg,139,84,27,Medium
tomat31.jpg,155,102,16,Medium
tomat32.jpg,124,70,0,Medium
tomat33.jpg,139,106,45,Medium
tomat34.jpg,131,91,29,Medium
tomat35.jpg,124,81,12,Medium
tomat36.jpg,150,126,82,Medium
tomat37.jpg,132,83,7,Medium
tomat38.jpg,200,100,2,Medium
tomat39.jpg,152,121,8,Medium
tomat40.jpg,122,89,8,Medium
tomat41.jpg,166,68,3,Medium
tomat42.jpg,131,102,12,Medium
tomat43.jpg,186,100,0,Medium
tomat44.jpg,183,114,2,Medium
tomat45.jpg,162,76,1,Medium
tomat46.jpg,143,73,3,Medium
tomat47.jpg,148,109,13,Medium
tomat48.jpg,154,63,0,Medium
tomat49.jpg,112,140,3,Raw
tomat50.jpg,97,120,3,Raw
tomat51.jpg,126,138,4,Raw
tomat52.jpg,118,129,4,Raw
tomat53.jpg,38,50,4,Raw
tomat54.jpg,65,75,2,Raw
tomat55.jpg,99,135,3,Raw
tomat56.jpg,78,103,1,Raw
tomat57.jpg,91,124,9,Raw
tomat58.jpg,50,76,2,Raw
tomat59.jpg,65,89,3,Raw
tomat60.jpg,83,112,2,Raw
tomat61.jpg,101,125,3,Raw
tomat62.jpg,86,109,1,Raw
tomat63.jpg,146,172,10,Raw
tomat64.jpg,111,138,0,Raw
tomat65.jpg,48,74,1,Raw
tomat66.jpg,116,138,4,Raw
tomat67.jpg,62,91,1,Raw
tomat68.jpg,61,72,4,Raw
tomat69.jpg,70,95,3,Raw
tomat70.jpg,98,133,3,Raw
tomat71.jpg,83,113,1,Raw
tomat72.jpg,86,113,0,Raw
